Namn,Bilete-bguw,Frå år,Materialar,Materialkommentar,Nasjonalmuseet,Objekt-ID,Produksjonsstad,Produsent,Til år,3D-modell,Estimert vekt (kg),Nasjonalitet,Bilete-URL,Emneord,Erverving,Setehøgde (cm),Stilperiode,Teknikk,Breidde (cm),Datering,Djupn (cm),Høgde (cm),Nemning,Hundreår
Reserved,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O79187/O79187_bguw.png,1998,Eik,Eik,https://collections.vam.ac.uk/item/O79187/,O79187,London,"Anastassiades, Michael",1998,,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2025PD8571/full/!800,800/0/default.jpg",,,,,,100,1998,45,85.5,,1900-talet
Armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1779763/O1779763_bguw.png,1878,"Eik, Mahogni, Maling","Tre (truleg mahogni og eik), ebonisert og malt",https://collections.vam.ac.uk/item/O1779763/,O1779763,London,Christopher Dresser,1878,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1779763/O1779763.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2025PC5254/full/!800,800/0/default.jpg",,,,,Lakkering,66,1878,52,76,,1800-talet
Chair with mirrored glass detail,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1713794/O1713794_bguw.png,1965,"Alm, Metall, Skumplast, Tekstil","[AI] Lakkert alm (knutealm) med innlegg av metall, polstret sete trukket med tekstil.",https://collections.vam.ac.uk/item/O1713794/,O1713794,London,"Hitchins, Ron",1965,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1713794/O1713794.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2023NP0981/full/!800,800/0/default.jpg",,,,,,0,1965,,100,,1900-talet
"Armchair (Seddon, John Pollard)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O61475/O61475_bguw.png,1862,"Eik, Messing, Tekstil","[AI] Beiset eik med skåret dekor i nygotisk stil, polstret sete trukket med mønstret tekstil og kantet med messingnagler, forben med trinser i messing.",https://collections.vam.ac.uk/item/O61475/,O61475,,"Seddon, John Pollard",1862,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O61475/O61475.glb,0,,"https://framemark.vam.ac.uk/collections/2021NA6601/full/!800,800/0/default.jpg",,,,,,61,1862,57.5,102,,1800-talet
Armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O61481/O61481_bguw.png,1898,"Maling, Tre","[AI Forslag: Tre (98%): Stolen er tydelig konstruert utelukkende av tre, med synlige utskjæringer, dreide elementer og en solid treplate som sete. Det mørke utseendet indikerer enten en mørk tresort eller en mørk beis/lakk på løvtre.; Eik (75%): Gitt stilen, som minner om tradisjonelt europeisk (muligens engelsk eller amerikansk tidlig) snekkerarbeid, er eik et svært vanlig materiale for solide, utskårne møbler. Fargen er konsistent med beiset eller eldet eik.; Ask (60%): Ask er et annet hardt løvtre som ofte ble brukt i denne typen tradisjonelle møbler, spesielt der det var behov for styrke. Kan ikke utelukkes basert på utseende alene.; Maling (85%): Treet har en veldig mørk overflatebehandling, som sannsynligvis er en form for beis eller lakk/maling for å oppnå den dype brune fargen og fremheve utskjæringene. Dette faller under kategorien 'Maling' gitt listen.]",https://collections.vam.ac.uk/item/O61481/,O61481,Warwick,"Starkey, John",1898,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O61481/O61481.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2021NA6586/full/!800,800/0/default.jpg",,,,,,62.5,1898,51,86.5,,1800-talet
Armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1131394/O1131394_bguw.png,1850,"Strå, Tre","Dreid og malt tre, fletta siv",https://collections.vam.ac.uk/item/O1131394/,O1131394,England,,1850,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1131394/O1131394.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2019MD1151/full/!800,800/0/default.jpg",,,,,"Dreiing, Fletting",,1850,,,,1800-talet
Stool,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1486810/O1486810_bguw.png,1932,"Bjørk, Jern, Kryssfiner, Metall",Formpressa 3-lags bjørkekryssfiner med fotplater av jern og skrue og mutter av metall; innskoren på oversida av ein tidlegare eigar med eit dekorativt mønster.,https://collections.vam.ac.uk/item/O1486810/,O1486810,Tallinn,Walter Gropius,1932,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1486810/O1486810.glb,0,Anna,"https://framemark.vam.ac.uk/collections/2019LV8271/full/!800,800/0/default.jpg",,,43.8,,,33,1932,33,43.8,,1900-talet
Pyrenees,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1243278/O1243278_bguw.png,2009,"Polyuretan, Stål","carved flocked polyurethane foam, steel",https://collections.vam.ac.uk/item/O1243278/,O1243278,London,Fredrikson Stallard,2009,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1243278/O1243278.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2019LT7578/full/!800,800/0/default.jpg",,,,,,219,2009,101,80,,2000-talet
Armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1478687/O1478687_bguw.png,1888,"Lær, Mahogni","[AI] Mahogni med skåret og dreid dekor, polstret sete trukket med lær.",https://collections.vam.ac.uk/item/O1478687/,O1478687,Manchester,George Faulkner Armitage,1888,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1478687/O1478687.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2019LL9230/full/!800,800/0/default.jpg",,,,,,61.7,1888,74.5,99.2,,1800-talet
Stool (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O119009/O119009_bguw.png,1720,"Messing, Nøttetre, Silke","[AI] Lakkert nøttetre med skåret dekor, polstret sete trukket med mønstret silke og dekorert med messingsøm.",https://collections.vam.ac.uk/item/O119009/,O119009,England,ukjent,1720,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O119009/O119009.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2018LF7346/full/!800,800/0/default.jpg",,,,,,54.5,1720,42,46,,1700-talet
